en,fr,de,vi
wow,pleurage,langsames Jaulen,
wow and flutter,fluctuations de vitesse,Wow und Flutter,
wrap,envelopper,wickeln,
wrap contact,contact pour connexion enroulée,Wickel-Kontakt,
wrap post,borne pour connexion enroulée,Wickelstift,
wrap removal tool,outil de démontage d'une connexion enroulée,Abwickel-Werkzeug,
wrapped connection,connexion enroulée,Wickelverbindung,
wrapped electrode(metal wrapping),électrode cuirassée,metallbandumwickelte Elektrode,
wrapped-joint socket,support pour câblage enroulé,Wire-Wrap-Sockel,
wrapping tool,outil pour connexion enroulée,Wickel-Werkzeug,
wreck,épave,Wrack,
wriggling instability,instabilité à coudes,Schlängelinstabilität,
write time,temps d'écriture,Einfärbezeit,
write-in,commande d'écriture,Einschreiben,
writing,inscription,Schreiben,
writing gun,canon d'inscription,Schreibstrahlerzeuger,
writing light,guide de lumière,Steürlicht,
writing speed,vitesse d'exploration,Schreibgeschwindigkeit,
writing speed,vitesse d'inscription,Schreibgeschwindigkeit,
wye junction,jonction en i grec,Y-Verzweigung,
X emitter,émetteur X,Röntgen-Strahler,
X ray spectrometer,spectromètre X,Röntgen-Spektrometer,
X-operation,fonctionnement en X,Folgebetätigung von Kontakten,
X-ray astronomy,astronomie du rayonnement X,Röntgenastronomie,
X-ray diffraction,diffraction des rayons X,Röntgenstrahlenbeugung,
X-ray diffraction camera,caméra à diffraction des rayons X,Röntgenbeugungskamera,
x-ray diffraction pattern of a mucklike deposit,diagramme de rayons x des boues,Roentgenbeugungsbild - Roentgendiagramm - einer schlammartigen Ablagerung,
X-ray macrography,radiomacrographie,Röntgenmakrographie,
X-ray macrography,radiomacrographie,Röntgenmakrographie,
X-ray therapy equipment,equipement d'une salle d'application des sources,Röntgentherapieanlage,
X-ray tube,tube à rayons X,Röntgenröhre,
X.25 recommendation,(Avis)x 25,X.25,
XDP-U50D connectable,connectable XDP-U50D,XDP-U50P-kompatibler Vorverstärker,
xenon flash-lamp,lampe à éclats au xénon,Xenon-Blitzlampe,
xenon lamp,tube au xénon,Xenon-Lampe,
xenon tube,tube au xénon,Xenonroehre,
xenon-lamp,tube au xénon,Xenon-roehre,
xerography,xérographie,Xerographie,
XRD,diffraction x,Röntgenbeugungsanalyse,
y amplifier,amplificateur vertical,Y-Verstärker,
Y circulator,circulateur Y,Y-Zirkulator,
Y connected circuit,circuit raccordé en étoile,Y-Schaltung,
y connection,montage en étoile,Sternschaltung,
y delta connection,montage en étoile-triangle,Sterndreieckschaltung,
Y-operation,fonctionnement en Y,Folgebetätigung von Kontakten,
y-parameter,paramètre y,y-Vierpolparameter,
Yagi antenna,antenne Yagi,Yagi-Uda-Antenne,
yarn swellants,agents de gonflement de la corde,Quellmittel,
yarning iron,chasse-corde,Strickeisen,
yaw control,contrôle en lacet,Seitenssteuerung,
yead light,phare,Scheinwerfer,
yearly averaging storage,stockage saisonnier,saisonale Speicherung,
yearly production,production annuelle,Jahresproduktion,
yellow flame,flamme de diffusion,Leuchtflamme,
yellow glass bulb,ampoule à verre jaune,Glühlampe mit gelbem Glaskolben,
yellow tip,pointe jaune,gelbe Flammenspitze,
yellow tipping,formation de pointes jaunes,Bildung von gelben Flammenspitzen,
yield,rendement quantique d'absorption,Quantenausbeute bei Absorption,
yield,taux de rendement,Leistungsrate,
Ying-Yang coil,bobine Ying-Yang,Ying-Yang-Spule,
yoke,culasse,Joch,
yoke,culasse,Joch,
yoke assembly,bloc de bobinage,Spulensatz,
yttrium aluminium garnet laser,laser à YAG,YAG-Laser,
Z marker beacon,radioborne type Z,Z-Funkfeuer,
z-matrix,matrice z,z-Matrix,
z-parameter,paramètre z,z-Vierpolparameter,
z-parameters,paramètres z,Z-Parameter,
Z-Theta chart,abaque Z-Théta,Z-Theta-Diagramm,
Z-transform,transformée en Z,Z-Transformation,
Zener characteristic,caractéristique de Zener,Zenerkennlinie,
Zener current,courant de Zener,Zenerstrom,
Zener effect,effet Zener,Zenereffekt,
Zener emission,émission de Zener,Zeneremission,
Zener formula,formule de Zener,Zener-Formel,
Zener level detector,détecteur de niveau à diode de Zener,Zenerpegeldetektor,
Zener noise,bruit de Zener,Zenerrauschen,
Zener slope,pente de la caractéristique de Zener,Zenerknick,
Zener theory,théorie de Zener,Zenertheorie,
Zener voltage,tension de Zener,Zenerspannung,
zero bit,bit de zéro,Nullbit,
zero clearing,amélioration du zéro,Enttrübung des Minimums,
zero component,composante homopolaire,Nullkomponente,
zero crossing-Period,période moyenne au niveau zéro,zero crossing-Periode,
zero divergence field,champ à flux conservatif,quellenfreies Feld,
zero error,déviation résiduelle,Nullpunktabweichung,
zero insertion force component,composant à force d'insertion nulle,steckkraftloses Bauelement,
zero isochrone,isochrone zéro,Null-Isochrone,
zero material dispersion wavelength,longueur d'onde d'annulation de la dispersion,Wellenlänge zur Anullierung der Dispersion,
zero offset,astatisme,P-Grad gleich Null,
zero offset,dérive du zéro,Nullpunktverschiebung,
zero offset voltage,tension d'erreur au zéro,Nullverlagerungsspannung,
zero phase-sequence impedance,impédance homopolaire,Nullimpedanz,
zero phase-sequence reactance,réactance homopolaire,Nullreaktanz,
zero phase-sequence resistance,résistance homopolaire,Nullwiderstand,
zero pinch-off voltage,tension de pincement nulle,Null-Pinch-off-Spannung,
zero point,point zéro,Nullwert,
zero point,zéro,Nullpunkt,
zero potential,potentiel zéro,Referenzpotential,
zero power factor characteristic,caractéristique à facteur de puissance nul,Spannungs-Erregerstromkennlinie bei konstantem Blindstrom,
zero power factor test,essai à facteur de puissance nul,Übererregungsversuch,
zero sequence voltage relay,relais de tension homopolaire,Nullspannungsrelais,
zero stability,stabilité zéro,Nullpunktstabilitaet,
zero suppression,décalage du zéro,Nullpunktunterdrückung,
zero-beat,fréquence de battement nulle,Schwebungslücke,
zero-bias drain current,courant de drain à polarisation nulle,Drainstrom bei Gate-Source-Spannung gleich Null,
zero-crossing detector,détecteur de passage par zéro,Nulldurchgangsdetektor,
zero-drift compensation,compensation de la dérive du zéro,Nulldriftkompensation,
zero-force connector,connecteur enfichable sans effort,Steckverbinder für kräftefreies Stecken,
zero-point stability,stabilité du point zéro,Nullpunkstabilität,
zero-sequence impedance,impédance homopolaire d'un enroulement polyphasé,Nullimpedanz,
zeta potential,potentiel électrocinétique,elektrokinetisches Potential,
Zeta potential,potentiel-zéta,Zeta-Potential,
zigzag connection,connexion en zigzag,Zickzackschaltung,
zinc dendrite formation,formation de dendrites de zinc,Bildung von Zinkdendriten,
zinc electrolysis,électrolyse du zinc,Zinkelektrolyse,
zinc-blende structure,structure zinc-blende,Zinkblendestruktur,
zinc-bromine battery,accumulateur zinc-brome,Zink-Brom-Batterie,
zinc-chlorine battery,accumulateur zinc-chlore,Zinc-Chlor-Batterie,
zone,zone,Generatorzone,
zone,zone,Zone,
zone levelling,nivellement par zone,Zonennivellieren,
zone melting,fusion par zone,Zonenschmelzen,
zone of interference,zone de brouillage,Störbereich,
zone of welding current ranges,domaine de réglage du courant de soudage,Strom-Einstell-Bereich,
zone pass,passage de zone,Zonendurchlauf,
zone refining,purification par zone,Zonenreinigung,
zurra,zurra,Zurra,
‘Higher-level control’ systems/functions,systèmes/fonctions de «commande de niveau supérieur»,,
"""command and control"" measure","mesure de ""contrôle-commande""",,
431A,fiche 431A,,
500-point selector,sélecteur à 500 points,,
610,fiche 610,,
A system band,bande de fréquence A,,
A/B robbed-bit signalling,signalisation RBS A/B,,
A+ interface,interface A+,,
abiotic,abiotique,,
ablation,ablation,,
abort timer,temporisateur de déconnexion,,
absorbing frame,voleur de courant,,
absorption-type refrigerating appliance,appareil de réfrigération à absorption,,
absorptivity,absorptivité,,
accelerated life tests,essais d'endurance accélérés,,
acceptor site,centre accepteur,,
access barred call progress signal,"signal de progression de l'appel ""accès interdit""",,
access circuit,circuit d'accès,,
accumulation register,registre à accumulation,,
accumulator element,élément d'accumulateur,,
accumulator plate,plaque d'accumulateur,,
acknowledged alarm,acquittement d'alarme,,
acoustic power level,niveau de puissance acoustique,,
acoustic response loudspeaker,réponse acoustique du haut-parleur,,
acoustic shock reducer,réducteur de chocs acoustiques,,
acoustic-suspension speaker,enceinte à suspension acoustique,,
acquisition rate,taux d'acquisition,,
across a resistance,aux bornes d'une résistance,,
activation of an alert mechanism,activation d’un mécanisme d’alerte,,
active line period,durée de la ligne active,,
active mode efficiency,rendement en mode actif,,
active tee coupler,coupleur en Té actif,,
activity factor,taux d'activite,,
activity oriented form,formulaire adapté à l'activité,,
actual final route,voie réelle de dernier choix,,
actual measured loss,pertes effectives mesurées,,
actuation,manœuvre,,
adaptive answering,réponse adaptative,,
adaptive crosspolar cancellation systems,dispositifs adaptatifs d'annulation du signal contrapolaire,,
add/drop multiplexer,multiplexeur à insertion-extraction,,
address label,étiquette d'adresse,,
adhesion promotion,stimulation pour adhérence,,
adjacent signalling points,points de signalisation adjacents,,
AFS control signal,signal de commande AFS,,
alarm and status panel,panneau d'états et d'alarmes,,
alarm class,catégorie d'alarme,,
alarm concentration,concentration d'alerte,,
alarm display,présentation de l'alarme,,
alarm indicator messages,messages indicateurs d'alarme,,
alarm indicators,indicateurs d'alarme,,
alarm management,gestion d'alarmes,,
alarm message,message d'alarme,,
alarm panel,panneau d'alarmes,,
alarm severity,sévérité d'alarme,,
alarm status,état de l'alarme,,
alarm status off,état inactif de l'alarme,,
alarm status on,état actif de l'alarme,,
alarm status panel,panneau des état d'alarme,,
alarm subsystem,sous-système d'alarme,,
alarm text,texte de message d'alarme,,
alarm type,type d'alarme,,
alarm type status,état des alarmes,,
alert system,système d'alarme,,
all-channel CATV amplifier,amplificateur multivoie pour télévision par câble,,
all-optical switching system,système de commutation tout optique,,
all-relay automatic system,commutateur automatique tout-à-relais,,
alphageometric,alpha-géométrique,,
alphaphotographic,alphaphotographique,,
alternate access carriers,opérateur alternatif d'accès,,
alternating pilot,brûleur d'allumage à fonctionnement semi-permanent alterné,,
alternative terminal connection methods,pluralité des modes de raccordement,,
ambience synthesis,synthèse de signaux d'ambiance,,
amplitude quantized control,mode de synchronisation à quantification d'amplitude,,
amplitude-and phase-corrected echo,écho corrigé en amplitude et en phase,,
analogue loop-back,test en boucle analogique,,
analogue sub-band,sous-bande analogique,,
annual effects,effets annuels,,
anomalous skin effect,effet de peau anomal,,
anomaly,anomalie,,
answerback,indicatif,,
antenna gain-to-noise temperature,gain/température de bruit d'une antenne,,
antenna select unit,unité de sélection d'antenne,,
antisidetone telephone set,téléphone antilocal,,
apex inductor,inductance d'apex,,
apparent impedance deviation,écart d'impédance apparent,,
approval authority,services d'homologation,,
arc current through a gas-discharge protector,courant de décharge dans un gaz,,
argument,argument,,
arrester,limiteur de surtension,,
artificial daylight,jour artificiel,,
assigned frequency,fréquence assignée,,
associated mode,mode associé,,
asymmetrical modulation,modulation asymétrique,,
asymptotic unavailability,indisponibilité asymptotique,,
asynchronous communications interface-1 board,carte d'interface de communications asynchrones 1,,
asynchronous data channel,voie de données anisochrone,,
asynchronous modem,modem asynchrone,,
AT,AT,,
atmospheric window,fenêtre atmosphérique,,
audible alarm,alarme sonore,,
audio frequency-shift keying,modulation par déplacement de fréquence acoustique,,
audio subcarrier,sous-porteuse audiofréquence,,
audio-frequency amplifier,amplificateur d'audiofréquences,,
audiovisual source,serveur audiovisuel,,
auto memory preset,balayage automatique et mémorisation automatique,,
auto-transformer feeder,ligne d’alimentation auto-transformatrice,,
automatic coded access control,accès automatique indexé,,
automatic crossover,interrupteur automatique,,
automatic dispenser,distributeur automatique,,
automatic intercept system,système d'interception automatique,,
automatic number identification system,système d'enregistrement automatique des numéros,,
automatic numbering equipment,émetteur à numérotage automatique,,
automatic starting arrangement,système de démarrage automatique,,
automatic tape relay system,système de commutation automatique avec retransmission par bande perforée,,
automatic transmitter with controlled tape-feed mechanism,émetteur automatique à commande par impulsions,,
automatic washing machine,lave-linge automatique,,
auxiliary E & M shelf,équipement TRON-RON,,
average active efficiency,rendement moyen en mode actif,,
average cladding diameter,diamètre moyen de la gaine optique,,
average crossing rate,fréquence moyenne de passage à zéro,,
average responding,réponse quadratique moyenne,,
B system band,bande de fréquence B,,
b-mac,norme B MAC,,
babyphone,appels à un poste dont le combiné est décroché,,
back radius,rayon de bord arrière,,
backbone route,chemin hiérarchique normal,,
backward echo,écho vers l'amont,,
backward indicator bit,bit indicateur vers l'arrière,,
backward input signal,signal d'entrée vers l'arrière,,
backward sequence number,numéro de séquence vers l'arrière,,
balanced bridge interferometric switch,coupleur Mach-Zehnder,,
band number,numéro de bande,,
bandwidth-on-demand interoperability group,bande passante à la demande,,
barrage jamming,brouillage en barrage,,
base bill,tarif de base,,
base site controller messages,message de contrôle de site de base,,
baseline forecast,prévision des charges courante,,
basic subset,sous-ensemble de base,,
battery alarm,alarme de batterie,,
beam supply,alimentation du faisceau,,
bend lighting,éclairage virage,,
bending radius,rayon de courbure,,
bias supply,alimentation de polarisation,,
bias temperature stress test,test contrainte-température-polarisation,,
biasing,décaler le zéro,,
bit stockage register,enregistreur de bits à accumulation,,
bitstream/continuous-calibration,conversion N/A bitstream à calibrage continu,,
blanked channel,voie neutralisée,,
blockage effects,effets de blocage,,
blocking message,message de blocage,,
blue minus luminance,luminance moins le bleu,,
blue shifted solar cells,pile solaire à réponse déplacée vers le bleu,,
bond enveloppe,gamme des paramètres de liaison,,
bottom approach,écart sole-électrode en position basse,,
boundary crossings,franchissement d'une frontière entre deux cellules,,
boundary effects,effets aux limites,,
break-in test connector,prise,,
breakthrough,brouillage,,
bridging amplifier,amplificateur en pont,,
broadband telecommunications architecture,architecture de télécommunications à large bande,,
bromopropylate,bromopropylate,,
brush carriage,chariot porte-balais,,
bugging height,hauteur entre base du boîtier et substrat,,
building integrated timing supply,source BITS,,
building penetration loss,affaiblissement dû à la pénétration dans les bâtiments,,
built-in appliance,appareil intégrable,,
built-in household dishwasher,lave-vaisselle ménager intégrable,,
built-in household washing machine,lave-linge ménager intégrable,,
bulkhead fitting,hublot,,
bunch filament,grille tronconique incompète,,
burst isochronous,isochronisme par paquets,,
butter coat,surépaisseur de résine,,
byte interleaving,entrelacement de multiplets,,
cab equipment,organe de conduite,,
cable cross section,coupe transversale du câble,,
cable cross section,coupe transversale du câble,,
cable powering,distribution d'alimentation par câble coaxial,,
cableway link,tronçon de voie câblée,,
caged armour,blindage sous gaine,,
calibration verification number,numéro d'identification de l'étalonnage,,
call diverter,dispositif de renvoi d'appels,,
call management subsystem,sous-système de gestion des appels,,
call processing manager,gestionnaire de traitement des appels,,
call processing manager extension,extension de gestion du traitement des appels,,
call processing subsystem,sous-système de traitement des appels,,
call request signal,signal de demande d'appel,,
calling tone,tonalité d'appel,,
calling/idle working channel,voie d'appel/ voie de trafic au repos,,
canalume,canalume,,
capacitance non-linearity,non-linéarité de la capacité électrique,,
capacitance vs.time,capacité-temps,,
capacitance vs.voltage,capacité-tension,,
capacitance vs.voltage dot,point conducteur capacité-tension,,
capillary tool,outil capillaire pour liaisons,,
carrier circuit,circuit à porteuse,,
carrier group alarm,alarme de groupe de porteuses,,
carrier sense signal,signal de détection de porteuse,,
carrier sense system,système de détection de porteuse,,
carrierless amplitude/phase modulation,modulation amplitude/phase sans porteuse,,
ceiling concentration,concentration plafond,,
cellar,cave,,
cellar compartment,compartiment cave,,
cellular adapter,adaptateur de téléphone mobile,,
central charging equipment,équipement de taxation centralisée,,
centralized automatic message accounting system,système de comptabilité centralisée des appels,,
centralized base station controller,contrôleur de station de base centralisé,,
centre clipper,écrêteur de centre,,
changeback acknowledgement message,message d'accusé de réception de retour sur la liaison normale,,
changeback code,code de retour sur la liaison normale,,
changeback code field,champ du code de retour sur la liaison normale,,
changed address call progress signal,"signal de progression de l'appel ""adresse changée""",,
changed address service signal,signal de service d'adresse changée,,
changeover bar,barre de dédoublement,,
channel effect,"effet ""canal""",,
channel efficiency,efficacité des canaux,,
channel light,feu de chenal,,
channel sharing analysis,analyse du partage des voies,,
channel termination,terminaison de canal,,
channel vocoder,codeur à fréquences vocales de voies,,
channelization,découpage en canaux,,
charge sensitivity,sensibilité en charge,,
chemical overpotential,excédent de potentiel chimique,,
chessman,poignée d'outil de liaison,,
chill compartment,compartiment pour denrées hautement périssables,,
chip,élément,,
chopped bond,liaison réduite,,
chroma-differential gain,gain différentiel-chrominance,,
chroma-differential phase,phase différentielle-chrominance,,
circuit identification code,code d'identification de circuit,,
circuit number,numéro de circuit,,
circuit subgroup,sous-faisceau,,
circuit-group-congestion signal,signal d'encombrement du faisceau des circuits,,
cladding surface tolerance,tolérance CT sur la surface de la gaine optique,,
clamping flat iron,étiré de pinçage,,
clamping unit,unité de fermeture,,
class of output,catégorie de sortie,,
clean dry air,air sec propre,,
cleaning shoe,pied de lavage,,
clear indication packet,paquet d'indication de libération,,
clear request packet,paquet de demande de libération,,
clefoxydim,clefoxydime,,
clinch,sertissage,,
clipper,limiteur d'amplitude,,
closed-loop drive,dérouleur de bandes magnétiques en boucle fermé,,
closure,rapprochement,,
co-channel re-use distance,distance de réutilisation des fréquences dans une même voie,,
co-firing,cofrittage,,
co-firing,passage en étuve simultané,,
co-linear array,antenne à dipôles alignés,,
co-planar leads,pattes latérales coplanaires,,
coastal area,zone de côtes,,
coating thickness measuring apparatus,bétascope,,
code mark inversion,code CMI,,
coefficient of harmonic distortion,coefficient de distorsion harmonique totale,,
coefficient temperature,coefficient de température,,
coffer,plafonnier encastré,,
coherence bandwidth,largeur de bande de cohérence,,
coil-capacitor type filter,filtre du type à inductance et capacité,,
collimating lens,lentille collimatrice,,
colocated exchange concentrator,concentrateur local,,
colour mapping,cartographie en couleur,,
combined ripple and spurious,ondulations résiduelles et parasites combinés,,
combined signalling sender and receiver,émetteur-récepteur de signalisation,,
common interchange format,format d'image commun,,
common language location identifier,identificateur d'emplacement en langage commun,,
common mode rejection ratio,rapport d'affaiblissement dans le mode commun,,
common volume in the main beams,volume commun des lobes principaux,,
common-mode,mode commun,,
community antenna television main line amplifier,amplificateur voie principale pour télévision par câble,,
commutating switch module,module de commutation,,
complex electronic vehicle control systems,systèmes complexes de commande électronique de véhicules,,
component preparation instructions,gamme de préparation des composants,,
components section,laboratoire des composants,,
composite set,réseau de filtres,,
compressed video,compression vidéo,,
compression-type refrigerating appliance,appareil de réfrigération à compression,,
computer status indicator,mot d'état calculateur,,
concentration stage,étage de concentration,,
concentricity errors,erreurs de concentricité,,
conducted interference,perturbations électromagnétiques transmises par conduction,,
cone anchor,ancrage conique,,
connect and disconnect signalling,signalisation de connexion et déconnexion,,
connected driving,conduite connectée,,
connecting part,pièce de liaison,,
connection of register to bridge,liaison enregistreur,,
connector insertion loss,perte d'insertion à la connexion,,
conservation and other DSM,économies et maîtrise de la demande d’énergie,,
consolidation file,dossier de regroupement,,
constant current limiting circuit,circuit à limitation de courant continu,,
consummer electronic bus,bus électronique grand public,,
contact strip material,matériau de bande de frottement,,
contact system gauge,gabarit de ligne de contact,,
continuing wire,fil couché,,
continuity meter,sonnette,,
continuous belt furnace,four de passage continu,,
continuous compelled signalling,signalisation à asservissement continu,,
control and monitoring collection unit,système de collection des informations de qualité et d'alarme,,
control request,demande de commande,,
control response,réponse de commande,,
controlled slip,dérive contrôlée,,
controlled system,système réglé,,
controlling collapse,contrôle de compression,,
controlling switch,commutateur de contrôle,,
cooperative electric utility,entreprise de service public détenue par une coopérative,,
cordless telephone-first generation,téléphonie mobile de première génération,,
core,conducteur isolé,,
core/cladding concentricity error,erreur de concentricité coeur/gaine optique,,
core/reference surface concentricity error,erreur de concentricité coeur/surface de référence,,
cornice lighting,bandeau lumineux,,
corona extinction voltage,tension d'extinction de l'effet couronne,,
corona inception voltage,tension de seuil de l'effet couronne,,
corrected equivalent resistance error,écart équivalent corrigé,,
correlative phase shift keying,manipulation corrélative par déplacement de phase,,
cosine detector sun sensor,capteur de direction solaire cosinusoïdal,,
Costas loop,boucle de Costas,,
coupling efficiency,rendement de couplage,,
cradle switch,interrupteur à berceau,,
critical angle,angle critique,,
cross modulation distortion,distortion de transmodulation,,
cross-lighting,interallumage,,
cross-plate anchor,ancrage sur plaques croisées,,
cross-span suspension by means of cable-girders,suspension transversale par câbles,,
crosstalk chrominance-luminance,diaphotie chrominance-luminance,,
curls,retirure,,
current mode logic gate-array circuit,réseau prédiffusé en technologie CML,,
curve,courbe,,
curve factor,coefficient de remplissage,,
custom software,logiciel sur mesure,,
custom-designed gate array,réseau prédiffusé à la demande,,
customer premise equipment,équipement terminal,,
customer-premises distributing frame,sous-répartiteur d'immeuble,,
cut surface,face de découpage,,
damage control plan,plan pour le contrôle en cas d'avarie,,
dark box,boîte noire,,
data forwarding signals,signaux d'envoi de données,,
data sub-user indicator,indicateur de partie sous-usager de données,,
dataspeed,émetteurs/récepteurs Dataspeed,,
day of week routing,routage - jour de la semaine,,
day of year routing,routage - jour du mois,,
DCE clear confirmation packet,paquet de confirmation de libération par l'ETCD,,
DCE power off call progress signal,signal de progression de l'appel de coupure de l'alimentation,,
decision circuit,circuit de décision,,
decision feedback equalizer,égaliseur à décision dans la bande,,
declination,déclinaison,,
dedicated signalling channel,canal spécialisé pour la signalisation,,
deemphasis,désaccentuation,,
deep level transient spectroscopy,spectroscopie des pièges profonds,,
degree of polarization,taux de polarisation,,
delay lock loop,boucle à retard de phase,,
delayed term,terme à effet différé,,
delta-sigma modulation,modulation delta-sigma,,
demand billing,facturation du maximum,,
dependable capacity,capacité fiable,,
destination exchange code,indicatif du central de destination,,
destination identifier,identificateur de destination,,
destination point,point de destination,,
destination point code,code de point de destination,,
destination region code,code de la région de destination,,
development phase,phase de développement,,
device types,type d'équipement,,
dial announcer recorder trunk equipment,équipement d'accès à une machine parlante,,
dial-pulse receiver,récepteur décimal,,
dial-up modem,modem numéroteur,,
dialler,composeur téléphonique,,
dichroic-dye liquid crystal display,afficheur à cristaux liquides dichroïques en couleur,,
dielectric lens antenna,antenne à lentille diélectrique,,
differential receiver,récepteur différentiel,,
diffraction edge,arête diffringente,,
diffuse sounding,son diffus,,
digital bearer,circuit support numérique,,
digital command signal,signal de commande numérique,,
digital divider type synthesizer,synthétiseur à diviseur numérique,,
digital group interface,interface de groupe numérique,,
digital identification frame,trame d'identification numérique,,
digital image,image numérique,,
digital milliwatt,signaux numériques en milliwatts,,
digital pad,complément de ligne numérique,,
digital PCS,service de communications personnelles numériques,,
digital signal cross-connect,interconnexion pour les signaux numériques,,
digital sub-band,sous-bande numérique,,
digital synchronization subsystem,sous-système de synchronisation numérique,,
digital theatre systems,système de cinéma numérique,,
digital transmit command,commande d'émission numérique,,
digital trigger,déclenchement numérique,,
dimensioned hole,trou dimensionné,,
diode phasing network,réseau de régulation de phase à diodes,,
direct emulsion screen,écran à émulsion directe,,
direct parameter input,entrée directe des paramètres,,
direct sound,son direct,,
direct treatment,traitement direct,,
directional waveguide,guide d'onde directionnel,,
diruptor,diruptor,,
discard output,mise au rebut des données de sortie,,
discarded packet,paquet abandonné,,
discriminating selector,sélecteur discriminateur,,
dishwasher,lave-vaisselle,,
distributed framing pattern,schéma de verrouillage de trame réparti,,
distributed multi-antenna system,système à plusieurs antennes réparties,,
distribution system with no connection to earth,réseau de distribution sans mise à la masse,,
docking,attelage,,
dome driver,haut-parleur à dôme,,
door circuit,circuit de porte,,
door-knob transformer,transition en bouton de porte,,
double action mechanical system,système mécanique à action double,,
downlighting fitting,spot de plafond,,
drawing of circuit pattern,dessin de tracé de circuit,,
drift failure,défaut par dérive,,
drill body length,longueur totale du foret,,
drill point concentricity,excentration de la pointe de foret,,
drilling tape,bande de perçage,,
driving system,entraîneur,,
dry inert atmosphere,milieu sec et inerte,,
dry radome,radome sec,,
DTE clear confirmation packet,paquet de confirmation de libération par l'ETTD,,
DTR,carte de réception de signalisation multifréquence,,
dual carrier transmission,transmission à double porteuse,,
dual tone receiver-1 board,carte de réception de signalisation multifréquence 1,,
due east,plein est,,
duopod,dipode,,
duopod construction,construction en dipode,,
E lead,fil RON,,
E&M signalling,signalisation RON et TRON,,
earth resource survey operational system,système opérationnel d'exploration des ressources de la Terre,,
echo control,protection contre les échos,,
echo suppressor equipped,à suppresseur d'écho,,
echometric measurement,mesure échométrique,,
edge-strip interchangeability index,numéro d'exploitation,,
eikonal,iconale,,
El/Az,monture élévation-azimut,,
electric armour,blindage électrique,,
electric cable transit,passage de câble électrique,,
electric control line,ligne de commande électrique,,
electric lamp set,guirlande électrique,,
electric power circuit,circuit électrique de puissance,,
electric regenerative braking system of category A,système de freinage électrique à récupération de la catégorie A,,
electric safety lamp,fanal électrique de sécurité,,
electrical circuit failure,défaillance d'un circuit électrique,,
electrical ground support equipment,matériel électrique de soutien au sol,,
electrical hysteresis,hystérésis électrique,,
electrical power and distribution subsystem,système d'alimentation en courant électrique,,
electrical transcription,transcription PIRAC,,
electrically held crosspoint,point à maintien électrique,,
electrically hot case,circuit hybride de terre,,
electrode clamp release cylinder,cylindre de desserrage d'électrode,,
electrode clamping cylinder,cylindre de serrage d'électrode,,
electrode sweep,drague à électrode,,
electromagnetic system,système électromagnétique,,
electromedical equipment,appareils électromédicaux,,
electronic box,boîtier électronique,,
electronic control unit,module de commande électronique,,
electronic countermeasure equipment,matériel de contre-mesures électroniques,,
electronic deception,déception électronique,,
electronic direct current power controller,régleur électronique de puissance à courant continu,,
electronic distortion,distorsion électronique,,
electronic key telephone sets,appareil téléphonique électronique à clavier,,
electronic mobile exchange,autocommutateur électronique pour le service mobile,,
electronic power conditioner,conditionneur électronique d'énergie,,
electronic transponder,carte embarquée,,
electronic warfare,guerre électronique,,
electronic warfare support measures,mesures de soutien de guerre électronique,,
electrostatic voltmeter,voltmètre électrostatique,,
electrothermal thruster,micropropulseur électrothermique,,
emergency alarm,alarme d'urgence,,
emergency braking signal,signal de freinage d'urgence,,
emergency lighting system,système d'éclairage de secours,,
EMX host,serveur EMX,,
EMX switch,commutateur EMX,,
EMX system,système EMX,,
enclosure of electrical component,enveloppe d'élément électrique,,
end-punch holder,barreau,,
energy certificate,certificat énergétique,,
energy illumination,éclairement énergétique,,
energy intercepted by a receiver,énergie captée par un récepteur,,
energy thickness,épaisseur d'énergie,,
entrance facility,installation d'entrée de télécommunications,,
entry in the log-book,mention au journal de bord,,
envelope side-lobe diagram,diagramme d'enveloppe des lobes latéraux,,
epitactic layer,couche épitaxiée,,
equipment practice,mécanique,,
equivalent household dishwasher,lave-vaisselle ménager équivalent,,
equivalent household refrigerating appliance,appareil de réfrigération ménager équivalent,,
equivalent household washing machine,lave-linge ménager équivalent,,
equivalent random circuit group,faisceau équivalent,,
equivalent random method,méthode du faisceau équivalent,,
equivalent random traffic,intensité de trafic équivalent,,
error monitoring gate array,réseau prédiffusé traitant des défauts,,
error signal,signal d'erreur,,
European Centre for documentary research on solar housing,Centre européen de recherche documentaire sur l'habitat solaire,,
evaporator with coil buried in the earth,évaporateur au sol,,
exchange code field,champ du code d'un central,,
exchange concentrator,concentrateur de central,,
exchange control system,système de commande du central,,
exchange selection delay,durée de sélection,,
executive intercom system,système d'intercommunication de direction,,
expanding anchor,ancrage à expansion,,
explosion proof,antidéflagrant,,
exposed live part,pièce découverte sous tension,,
extended passive bus,bus passif étendu,,
extended super frame,format de super trame étendu,,
extended TDMA,accès multiple à répartition dans le temps étendu,,
exterior electromagnetic interference,perturbations électromagnétiques extérieures,,
external blocking,blocage externe,,
extra block,bloc supplémentaire,,
faint speech amplifier,amplificateur à l'émission,,
fast circuit switch,commutateur de circuits rapide,,
fault-mode input current,courant de défaut en entrée,,
feed forward AGC,CAG avec réaction vers l'avant,,
feedback AGC,CAG à contre-réaction,,
feeder bay,départ,,
field displacement,déplacement de champ,,
field programmable gate array,réseau programmable de portes,,
field programmable logic sequencer,séquenceur logique programmable,,
field replaceable unit,unité remplaçable par l'utilisateur,,
