en,fr,de,vi
pressurized-water pump,,Druckwasserpumpe,
primary air,,Traegerluft,
primary air fan,,Primaerluftgeblaese,
primary containment cooling system,,Druckkammer Spruehsystem,
primary oil circuit,,Primaeroelkreis,
primary winding,,Hauptwicklung,
process steam,,Fabrikationsdampf,
profile grinding,,profilformschleifen,
profiling,,profilabrichten,
progressive cut,,Schälanschnitt,
proportioning pump,,Dosierpumpe,
proportioning vessel,,Dosiergefaess,
pulse-free pump,,pulsfreie Pumpe,
pump,,Pumpe,
pump casing,,Pumpenkoerper,
pump characteristic,,Pumpenkennlinie,
pump discharge pressure,,Pumpenenddruck,
pump outlet side,,Pumpendruckstutzen,
pump suction pipe,,Pumpen-Saugleitung,
pump suction side,,Pumpen-Saugstutzen,
pump well,,Pumpenschacht,
Pur,,Pur,
pushbutton control,,Druckknopfsteuerung,
pushbutton switch,,Druckknopfschalter,
pyrites trap,,Fremdkoerperabscheider,
quadrant pipe bend,,Hamburger Bogen,
radiant heating surface,,Strahlungsheizflaeche,
Rahad,,"""Rahad""",
rate of firing,,Feuerleistung,
rate of materialremoval,,Abschliff,
reactor vessel surveillance specimen holder tube,,Reaktorbehaelterwerkstoff-Bestrahlungskapsel,
rear generator bearing,,hinteres Generatorlager,
rear-water cooled furnace bridge,,Pendelstauerkasten,
reciprocating,,pendelschleifen,
reciprocating piston tool,,Hubkolben-Werkzeug,
redress life,,Standzeit,
reducing nozzle,,Entspannungsduese,
reducing saw,,Profilzerspanermaschine,
regulating damper,,Einstellschieber,
regulating wheel,,Regelscheibe,
remote handling equipment,,Fernbedienungsanlage,
remote operation,,Fernbetaetigung,
remote water level indication,,Fernwasserstandsanzeiger,
remotely operated,,ferngesteuert,
remotely operated longwall face,,ferngesteuerte Strebe,
repair pit hoist,,Arbeitsgrubenheber,
residual heat removal operation,,Notnachkuehlbetrieb,
residual speed,,Restdrehzahl,
resin matrix,,kunstharz Bindung,
retention,,Einbindegrad,
robot,,Roboter,
rodding drainage,,Reinigung der Entwässerungsleitungen,
roller chain hoist,,Winde mit Rollkette,
rolling speed,,Trudeldrehzahl,
rotary damper,,Drehklappe,
rotary drum thickener,,Trommeleindicker,
rotary exhauster,,Rotationsgeblaese,
rotary movement,,Drehbewegung,
rotary piston lobe-type pump,,Waelzkolbenpumpe,
rotary wrench,,Drehschrauber,
roughing,,schruppen,
run out,,Überlauf,
runaway speed,,Durchgangsdrehzahl,
rundown,,Auslaufen,
running,,Gang,
sample cooler,,Probeentnahmekuehler,
sample cooler,,Probenahmekuehler,
sanitary sewer system,,Faekalabwassersystem,
saturated steam,,Sattdampf,
saturation characteristic,,Spannungs-Magnetisierungsstrom-Kennlinie,
score,,Schleifriefe,
screw spindle gate valve,,Gewindeschieber,
scrubber baffle,,Prallblech,
sea water cooling,,Frischwasserkuehlung,
seal oil,,Dichtoel,
seal oil purifier,,Dichtoelgeraet,
seal oil supply system,,Dichtoelversorgung,
seal oil system,,Dichtoelsystem,
seal oil tank,,Dichtoelbehaelter,
sealing effect,,Dichtwirkung,
sealing fin,,Dichtunggspitze,
sectional nozzle control,,Duesengruppenregelung,
segmental seal ring,,Segment-Dichtungsring,
selective control system,,Anwahlsteueranlage,
selector switches,,Wahlschalter,
selfsharpening,,selbstschärfend,
separate cooling,,Fremdkuehlung,
sequencer,,Sequenzer,
setting,,Einmauerung,
sharpening,,schärfen,
shielded disposal drum,,abgeschirmtes Abfallfass,
shrouding,,Bebaenderung,
shut-off head,,Foerderdruck bei geschlossenem Schieber,
silent running,,geraeuschloser Gang,
single abrasive rim,,einschichtiger Schleifbelag,
single feeder,,Einzelabzweig,
single-cylinder,,eingehaeusig,
single-seated valve,,Einsitzventil,
single-shell construction,,Einschalenbauart,
single-stage,,einstufig,
skin-friction coefficient,,Widerstandswert,
slag removal equipment,,Entschlacker,
slag screen,,Schlacken Fangrost,
slide-in tray,,Einschub,
slot grinding,,Nutenschleifen,
slotting cutter,,Schraubenschlitzfräser,
slug flow,,Schwallstroemung,
snatch rope,,Schlingenseil,
solidity at a particular radius,,Blattdichte für einen bestimmten Radius,
spacer rod,,Distanzanker,
spacer sleeve,,Distanzhuelse,
spanner cutter,,Schlüsselfräser,
spares inventory,,Ersatzteilhaltung,
sparger ring,,Kernspruehring,
sparking,,ausfeuern,
specified performance,,garantierte Leistung,
specified-thickness coating,,Dickbeschichtung,
speed changer motor,,Drehzahlverstellmotor,
speed control,,Drehzahlregelung,
speed rise,,Drehzahlanstieg,
speed rise,,Drehzahlerhoehung,
speed variation,,Drehzahlschwankung,
speeder gear,,Drehzahlvorrichtung,
spray valve,,Einspritzventil,
spring hangers,,federnde Aufhaengung,
starting vessel,,Anfahrgefaess,
static balancing,,statisch auswuchten,
station service requirements,,Eigenbedarf,
station service switchgear,,Eigenbedarfsschaltanlage,
stationary grate,,Planrost,
steady,,Setzstock,
steam chest,,Einstroemkasten,
steam main,,Hauptdampfleitung,
steam path,,Dampfweg,
steam pressure relay,,Dampfdruckwaechter,
steam scrubber,,Dampfwaescher,
steam scrubbing,,Dampfwaschen,
steam supply to the turbine-generator,,Dampfzufuhr zum Turbosatz,
steam-and-water drum,,Entmischungstrommel,
steam-generating heavy-water reactor,,dampferzeugender Schwerwasserreaktor,
step angle,,Schrittwinkel,
stirrer tank,,Ruehrwerkbehaelter,
straight cup wheel,,gerade Topfscheibe,
straight pressure atomizer,,reiner Druckzerstaeuberbrenner,
straight-way valve,,Durchgangsventil,
stroke,,Nachschlag,
subcritical pressure,,unterkritischer Druck,
supercritical pressure,,ueberkritischer Druck,
superheated steam outlet,,Heissdampfaustritt,
superheated steam receiver,,Heissdampfvorlage,
superheater drain,,Ueberhitzerentwaesserung,
superheater vent valve,,Ueberhitzer-Entlueftung,
supervisory remote control,,Fernwirkanlage,
surface attemperator,,Oberflächenkühler,
surface coolers are provided with evaporating coils,,Flaechenkuehler sind mit einer Verdampferschlange ausgeruestet,
surface grinding,,planschleifen,
swinging ash cut-off gate,,Pendelstauer,
symmetrical helical plain milling cutter,,Gleichförmigkeitsfräser,
synthetic corundum,,synthetischer Korund,
tailstock,,Reistock,
tandem-compound arrangement,,Einwellenanordnung,
tandem-compound maschine,,Einwellenmaschine,
tap cock,,Zylinder-Kükenhahn,
tapered cup wheel,,kegelige Topfscheibe,
tapered cup wheel,,kegelige Topfscheibe,
tapping,,Entnahme,
telehoist load lugger,,Teleskop-Lader,
telemetering receiver,,Fernempfaenger,
tertiary air,,Tertiaerluft,
thin film rectifier,,Trockengleichrichter,
threaded flange,,Gewindeflansch,
threaded pipe,,Gewinderohr,
three-way valve,,Dreiwegschieber,
throat seal,,Halsabdichtung,
throttle flow,,Frischdampfdurchsatz,
throttle governing,,Drosselregelung,
throttle pressure,,Frischdampfdruck vor der Turbine,
throttle regulation,,Drosselregulierung,
throttle temperature,,Frischdampftemperatur,
throttle valve,,Drosselklappe,
throttling disc,,Drosselscheibe,
throttling loss,,Drosselverlust,
throttling point,,Drosselstelle,
throttling valve,,Drosselschieber,
throughfeed centerless grinding,,durchgangspitzenlosschleifen,
thrust block,,Fixpunkt,
thrust ring,,Druckring,
thrust-bearing pad,,Drucklagerklotz,
tight,,dicht,
tight-closing,,dichtschliessend,
tilted band,,Förderband mit Kippvorrichtung,
timing pulse generator,,Zeit-Impulsgenerator,
to be set free,,frei werden,
to block the leak path,,den Leckagepfad blockieren,
to bypass a portion of dump to the condenser,,einen Teil der Ueberproduktion zum Kondensator fuehren,
to clad internal surfaces with stainless steel,,Innenflaechen mit rostfreiem Stahl plattieren,
to close off the flow path,,den Stroemungsweg absperren,
to decarbonize,,entkarbonisieren,
to expand,,sich entspannen,
to flame-clean,,flammstrahlen,
to flash into steam,,ausdampfen,
to flash into steam,,ausdampfen,
to obstruct the coolant flow,,die Kuehlmittelstroemung behindern;die Kuehlmittelstroemung verhindern,
to provide normal cooling without any operator action or reliance on outside power,,ohne jedes Eingreifen der Bedienung oder Verlass auf Fremdstrom normal kuehlen,
to put into service,,einfahren,
to seal off,,dichten,
to seize,,festlaufen,
to set,,einstellen,
tool,,Werkzeug,
toolgrinding,,werkzeugschleifen,
tooth thickness angle,,Zahndickenwinkel,
top half casing,,Gehaeuse-Oberteil,
torque component,,Drehmomentkomponente,
total dynamic head,,Gesamtfoerderhoehe,
total dynamic head,,manometrische Foerderhoehe,
touch point,,Saugpunkt,
tough rubber-sheathed cable,,Gummischlauchleitung,
toughness,,Zähigkeit,
traction equipment,,Traktionshilfe,
tramp iron,,von der Kohle mitgefuehrte Eisenteile,
transfer ladle,,Torpedopfanne,
transfer pump,,Foerderpumpe,
transgranular stress corrosion cracking,,transkristalline Spannungsrisskorrosion,
transmitter module,,Geberbaustein,
transmitter unit,,Gebergeraet,
transport,,foerdern,
transtainer,,Transtainer,
transverse arrangement,,Queraufstellung,
travel,,Förderhöhe,
travel motor,,Fahrmotor,
travelling screen,,Siebbandmaschine,
travelling steady,,mitlaufender Setzstock,
traverse,,Zustellung,
traversing chute,,Pendelschurre,
trip analysis,,Stoerungsaufklaerung,
trip instrument,,Ausloesegeraet,
trip tray,,Ausfallwaage,
tripping speed,,Schnellschlussdrehzahl,
truing,,konditionieren,
tube erosion,,Rohrerosion,
tubing,,Rohrleitung,
tubular heating surface,,Rohrheizflaeche,
tulip-head valve,,Tulpenventil,
turbine drain,,Turbinenentwaesserung,
turbine house main operating floor,,Hauptbedienungsflur,
turbine motor,,Turbinenwerkzeug,
turbine-type,,Turbogenerator-motor,
twin bore,,Doppelprofil,
two-dimensional code,,zweidimensionaler Barcode,
tyre building machine,,Reifenkonfektioniermaschine,
tyre curing press,,Reifenheizpresse,
unbalance,,Unwucht,
unified fuel control,,integrierte Kraftstoffregelung,
unlocking unit,,Entriegelungsgeraet,
unstressing,,Entlastung,
up cut,,Gegenlauf,
valve ports,,Ventilöffnungen,
variable base tower crane,,Turmdrehkran mit spurregelbarem Unterwagen,
variable-pitch inlet vanes,,Drallregler,
variable-pressure deaeration,,Schwebeentgasung,
variable-pressure deaerator,,Schwebeentgaser,
variable-pressure heat accumulator,,Gefaellespeicher,
variable-speed,,drehzahlveraenderlich,
variable-speed motor,,drehzahlveraenderlicher Motor,
vent line,,Evakuierungsleitung,
vibrating discharge chute,,Abzugs-Schwingrinne,
vibratory torque control,,Torsionsschwingungen verhinderndes Dämpfungselement,
vitreous matrix,,keramische Bindung,
volumetric displacement capacity,,volumetrische Foerderleistung,
warming-up speed,,Anwaermdrehzahl,
water catcher,,Wasserfangkammer,
water quench,,Wasserkühlsatz,
water ring pump,,Wasserringpumpe,
water vapour,,Brueden,
wear,,Verschleiß,
weighing andproportioning of bulk solids,,Wägen und Proportionieren von Schüttgütern,
weight to be lifted,,Foerdergewicht,
welded-stub connection,,Einschweissnippel,
wet stator,,Nassläufermotor,
wheel,,Schleifschnecke,
wheel gaging,,Prozesskontrolle,
wheel head,,Hauptspindelstock,
wheel head,,Hauptspindelstok,
wheel topography,,Scheibentopografie | Scheibentopographie,
white corundum,,weißer Korund,
wire-rope drum,,Drahtseiltrommel,
workest blade,,Stütze,
workpiece stockremoval,,Zeitspanvolume,
"""vee"" engine configuration",,,
350 ± 75 ppm C span gas,,,
A pillar,,,
accurate flowmeter,,,
adhesion utilisation curve,,,
adhesion utilised,,,
air intake,,,
air-flow sensor,,,
air-handling device,,,
air-leg,,,
air-temperature sensor,,,
angular rotation,,,
armouring machine,,,
auxiliary release system,,,
back-pedalling braking system,,,
barrel,,,
baseline vehicle,,,
brake assembly,,,
brake chamber pressure,,,
brake demand,,,
brake factor,,,
buffing stripper,,,
bulk exhaust stream,,,
bumper lead,,,
bush roller conveyor chain,,,
cage pallet,,,
calibration function,,,
calibration intervals,,,
cap,,,
catenary continuous vulcanizing,,,
caterpillar,,,
cell guide,,,
centre of gravity height,,,
centre of the knee,,,
charcoal scrubbed,,,
charge cooling system,,,
chassis-type exhaust system,,,
choked nozzle,,,
closed tool,,,
coaster brake hub,,,
combined spring brake actuator,,,
command signal,,,
common rail,,,
complete device,,,
component of a braking system,,,
composite rocket engine,,,
compression,,,
conditioned with carrier gas,,,
conformity of production testing scheme,,,
connecting rod bolt,,,
consumable rocket,,,
controller,,,
conventional number,,,
coolant release,,,
cooling air,,,
cooling channel,,,
cooling system: liquid,,,
cooling through,,,
corner of frontal protection system,,,
corner of frontal protection system leading edge,,,
corner reference point,,,
counterweight,,,
crank throw,,,
crank-pin journal,,,
crankcase mounted camshaft,,,
crash protection system,,,
cross sensitivity,,,
cross-bleed,,,
cryogenic hydrogen,,,
damping chamber,,,
density gradient,,,
diesel exhaust,,,
differential pressure of zero,,,
dilution air,,,
dilution feature,,,
dilution ratio,,,
direct sequence,,,
directional flow,,,
disc tumbler,,,
distinguish the emission limit,,,
dome-headed bolt,,,
domed head,,,
door member,,,
door retention component,,,
dosing pump,,,
double chamber restraint joint,,,
double door,,,
drier,,,
drum brake hub,,,
dry curing,,,
dry to wet correction factor,,,
during the individual modes,,,
efficiency test,,,
electrochemical torque,,,
embossing wheel,,,
energy storage device,,,
engine family listing,,,
engine or motor combination,,,
engineering judgement,,,
essential outer front end dimensions,,,
excess flow system,,,
exciter,,,
exhaust emissions approval,,,
exhaust gas diluter,,,
exhaust mass flow rate,,,
exhaust sample lines,,,
exhaust valve port,,,
exiting on the centreline,,,
external leakage test,,,
extreme temperature pressure cycle test,,,
fade test,,,
feeder station,,,
fencing,,,
filling knife,,,
filter characteristics,,,
Filtered Output Signal,,,
fixed equilibrium,,,
flame paths,,,
flange type bolted fixing,,,
flat die,,,
floating disc,,,
flow capacity,,,
fluorescence micrograph,,,
force threshold of control device,,,
frontal protection system lead,,,
frontal protection system leading edge height,,,
fuel economy,,,
fuel flow,,,
fuel lever,,,
fuel restricted approval,,,
full revolution clutch,,,
gas pliers,,,
gaseous pollutants,,,
geared supercharger,,,
glass recycling container,,,
Glass reinforced plastics - Measurement of hardness by means of a Barcol Impressor,,,
gravimetric filling,,,
gravity filler,,,
gravity filling,,,
hand crank,,,
haul-off,,,
heat exchanger failure detection system,,,
heated filter,,,
high frequency distortions,,,
highly scattered trace,,,
hopper and suction dredger,,,
hot knife sealing,,,
hydraulic pressure,,,
hydrogen-powered vehicle,,,
icebox rivet,,,
immersion-type oil heater,,,
impingement of stray light,,,
impulse manoeuvre,,,
independent application and release pipe,,,
intake air mass flow rate on wet basis,,,
intake manifold depression,,,
jacking point,,,
Joint Aviation Requirements,,,
just-in-time,,,
lapping head,,,
laying-up machine,,,
leaf collector,,,
level wound coil,,,
lif-in-lift out,,,
lighting equipment,,,
limited-slip differential,,,
load wheel,,,
location bore,,,
lubricant reservoir,,,
magnifying glass lens,,,
maximum except takeoff power,,,
maximum filling level test,,,
maximum static vertical load,,,
maximum torque conversion,,,
mechanical coupling,,,
misfire detection,,,
momentum thrust,,,
non-uniform load,,,
optical warning signal,,,
output force,,,
overhead inlet and side exhaust valves,,,
overpressure protection system,,,
P points,,,
packaging equipment,,,
paramagnetic alternating pressure,,,
pass lap position,,,
passage frequency,,,
paver-finisher,,,
pillar,,,
pipelayer,,,
piston pin bearing,,,
piston pin boss,,,
piston volumetric filling,,,
pivoted drawbar,,,
planetary twister,,,
point,,,
power controller,,,
pressure maintenance system,,,
pressure reduction stage,,,
pressure regulator final stage,,,
pressure relief valve,,,
pressure seal,,,
pressure test connection,,,
pressurisation system,,,
product deposit,,,
propulsion torque,,,
pump bench,,,
pump rising main,,,
pump-fed,,,
purge gas,,,
pushrod stroke,,,
quick release mechanism,,,
Ra value,,,
radial crack,,,
rain deflector,,,
rated net power,,,
raw opacity signal,,,
reasonable value,,,
rebated blade,,,
receiving solution,,,
recommended stain,,,
reference cant deficiency,,,
refuelling connection,,,
restriction setting,,,
retraction pressure,,,
return mechanism,,,
ring land,,,
rocker shaft pedestal,,,
roller brake hub,,,
rolling radius,,,
rotary filler,,,
rotor cheek,,,
rotor hat,,,
rubber tire manufacturing,,,
scale-down industrial prototype pressure vessel,,,
seamless metallic container,,,
semi-floating piston pin,,,
service braking control,,,
session,,,
side-impact resistance,,,
signal rise,,,
single-axis tracking,,,
sliding track,,,
snow traction device,,,
soft-start unit,,,
spirit level,,,
splice box,,,
spring clip,,,
sprung mass oscillation,,,
steering wheel material,,,
step input signal,,,
straight length tubes,,,
strainer,,,
strapping equipment,,,
strength of the component,,,
subsonic venturi,,,
synchrophasing,,,
syphon,,,
temperature cycle test,,,
test pressure,,,
third of the frontal protection system,,,
third of the frontal protection system leading edge,,,
thrust coefficient,,,
timed flow filling,,,
timing belt replacement,,,
track driver,,,
transient test cycle,,,
trigger frequency,,,
turbinate cells,,,
turbinemeter,,,
tyre envelope,,,
tyre load capacity,,,
upper frontal protection system height,,,
upper frontal protection system reference line,,,
utilization of adhesion,,,
vacuum transporter,,,
valve spring collar,,,
vehicle interface system,,,
vehicle type with regard to the field of vision,,,
velomobile,,,
venturi tube flowmeter,,,
vision machine,,,
volatile particle remover,,,
volume of the catalytic converter,,,
volumetric diaphragm,,,
vulcanizing tube,,,
washwater pump,,,
water cooled system,,,
water make-up system,,,
water quench,,,
wet gas,,,
wire straightening rolls,,,
zirconium dioxide probe,,,
,à pleine charge du moteur,unter Volllastbedingungen,
,accouplement non débrayable,nicht schaltbare Kupplung,
,accumulateur,Speicherstation,
,acide naphtalénique,Naphtalensäure,
,acier de qualité chaudière,Kesselbaustahl,
,action freinante du moteur,Bremswirkung des Motors,
,aéro-engrangeur avec tapis transporteur utilisé pour le transport du foin,Abladegeblaese mit Zubringerband beim Foerdern von Heu,
,agent intelligent,Agent,
,aiguilles vibrantes,Nadelvibrator,
,aileron,Seitenflügel,
,ajusteuse-monteuse,Maschinenmonteur,
,allumage par compression,Kompressionszündung,
,âme,Seele,
,amenée d'eau de refroidissement,Kühlwasserzufuhr,
,angle d'arête transversale,Querschneidenwinkel,
,angle de direction d'arête(X),Einstellwinkel,
,angle guide,Führungswinkel,
,anneau brillant,Blankbremsung,
,antenne d'alimentation,Zuführstrecke,
,antenne de stockage,Ortsspeicher,
,appareil à retomber dans les pas,Gewindemeßuhr,
,appareil à tourner cône,Vorrichtung zum Kegeldrehen,
,appareil chasse-moyeu,Nabentreiber,
,appareil de chauffage à air pulsé,Warmluftheizgerät,
,appareil de circulation des boulets,Kugelumwälzeinrichtung,
,appareil de Hortvet,Hortvet-Apparat,
,appareil de reprise,Rücklader,
,appareillage d'installation,Installationsmaterial,
,appareillage de division,Teilapparat,
,aptitude à la coupe,Schneidhaltigkeit,
,arête secondaire,Nebenschneide,
,Arrêté du Conseil fédéral concernant la surveillance technique des installations de transport par conduites,Bundesratsbeschluss betreffend die technische Aufsicht über die Rohrleitungsanlagen,
,arrosage centrifuge par l'intérieur de la meule,zentrifugale Kühlschmierung über die Innenkante der Schleifscheibe,
,articles de boulonnerie et de visserie,Erzeugnisse der Schrauben-und Nietenindustrie,
,articulation pivotante double,Doppelschmelgelenk,
,Association d'entreprises Suisses d'installation et de révision de stockages hydrocarbures,Verband Schweizerischer Unternehmungen für Bau und Unterhalt von Tankanlagen;VTR,
,Association de câbleries suisses,Vereinigung schweizerischer Kabel-Fabriken,
,Association de l'industrie suisse des automates,Verband der Schweizerischen Automaten-Industrie,
,Association des entreprises de brûleurs à mazout et à gaz;VSO,Verband Schweizerischer Öl-und Gasbrenner-Unternehmen;VSO,
,Association des entreprises suisses d'ascenseurs,Verband schweizerischer Aufzugsfirmen,
,Association des entreprises suisses d'ascenseurs,Verband Schweizerischer Aufzugsfirmen,
,Association des fabricants et négociants suisses de machines pour e...,Verband schweizerischer Baumaschinen-Fabrikanten und Handelsfirmen,
,Association des fabricants suisses d'accumulateurs,Vereinigung schweizerischer Akkumulatorenfabrikanten,
,Association des fabricants suisses d'ascenseurs(VSA),Verband Schweizerischer Aufzugsfirmen,
,Association des fabricants suisses de machines à travailler le bois,Verband Schweizerischer Holzbearbeitungsmaschinen-Fabrikanten,
,Association des Fabricants Suisses de machines à travailler le bois et pour scieries,Verband Schweizerischer Fabrikanten von Holzbearbeitungs-und Sägereimaschinen,
,Association des fabricants suisses de machines et outils à travaill...,Verband schweizerischer Holzbearbeitungsmaschinen- und Werkzeug- Fab...,
,Association des fabricants suisses de machines et outils à travailler le bois;VSHF,Verband Schweizerischer Holzbearbeitungsmaschinen-und Werkzeug-Fabrikanten;VSHF,
,Association des fournisseurs d'appareils à gaz Suisse,Vereinigung der Gasapparatelieferanten Schweiz,
,Association des fournisseurs d'appareils à gaz Suisse;AFAG,Vereinigung der Gasapparatelieferanten Schweiz;VGL,
,Association pour les examens professionnels d'agent d'exploitation de l'industrie des machines,Verein für Berufsprüfungen für den Betriebsfachmann der Maschinenindustrie,
,Association pour les examens professionnels d'agent d'exploitation...,Verein für Berufsprüfungen für den Betriebsfachmann der Maschinen-I...,
,Association pour les examens professionnels d'agent en automatique de l'industrie,Verein für Berufsprüfungen für Automatikfachleute im Maschinen-und Apparatebau,
,Association pour les examens professionnels supérieurs de contremaître de l'industrie dans la construction de machines et d'appareils,Verein für höhere Fachprüfungen für den Industriemeister im Maschinen-und Apparatebau,
,Association Suisse d'entreprises mécaniques et techniques;SM;Swissmechanic,Schweizerischer Verband mechanisch-technischer Betriebe;SM;Swissmechanic,
,Association suisse de contrôle des installations sous pression,Schweizerischer Verein für Druckbehälterüberwachung,
,Association suisse de contrôle des installations sous pression;ASCP,Schweizerischer Verein für Druckbehälterüberwachung;SVBD,
,Association suisse de contrôle des installations sous pressions,Schweizerischer Verein für technische Inspektionen,
,Association suisse de propriétaires de chaudières à vapeur;ASPC,Schweizerischer Verein von Dampfkessel-Besitzern;SVDB,
,Association suisse de propriètaires de chaudières vapeur,Schweizerischer Verein von Dampfkesselbesitzern,
,Association suisse des armuriers et marchands d'armes spécialisés,Verband Schweizerischer Büchsenmacher,
,Association Suisse des Constructeurs de Systèmes de Sécurité,Vereinigung Schweizerischer Hersteller von Sicherheitsanlagen,
,Association suisse des fabricants et commerçants de machines agricoles,Schweizerischer Landmaschinen-Verband,
,Association suisse des fabricants et commerçants de machines agricoles,Schweizerischer Landmaschinen-Verband,
,Association suisse des fabricants et commerçants de machines agricoles;ASMA,Schweizerischer Landmaschinen-Verband;SLV,
,Association Suisse des Fabricants et Fournisseurs d'Appareils élect...,Fachverband Elektroapparate für Haushalt und Gewerbe Schweiz,
,Association suisse des Maîtres Tonneliers,Schweizerischer Küfermeisterverband,
,Association suisse des marchands de machines à coudre,Verband Schweizerischer Nähmaschinen-Händler,
,Association suisse des vérificateurs des poids et mesures,Verband schweizerischer Eichmeister,
,atelier,Werkstätte,
,attache à cosse,Klemmkausche,
,attelage d'une charrue entre les roues avant et arrière du centre de poussée réel,Pfluganbau vor der Hinterachse am realen Fuehrungspunkt,
,auget en forme de coquille,becherfoermige Schaufel,
,avance de coupe,Vorschub,
,avance de la pièce ou de l'outil en cours d'usinage,Werkstueckvorschub oder Werkzeugvorschub waehrend der Bearbeitung,
,avance résultante de coupe,Wirkvorschub,
,avance verticale,vertikaler Vorschub,
,bac basculant,Kippschale,
,balance,Waageposition,
,ballon d'éclatement,Entspannungsbehaelter,
,bande de reprise,Ausspeicherstrecke,
,bande transporteuse,Transportband,
,barreau traité,Werkzeugspitze,
,bâtiment de commande,Betriebsgebäude,
,bec,Meßschenkel,
,bédane,Kreuzmeißel,
,benne à basculement,Kippbuegel,
,blocage,Klemmung,
,bogie autovireur,selbstlenkender Läufer,
,boîte de transmission principale,MGB,
,boîte mécanique automatique,Schnellschaltgetriebe,
,bonne répartition des tensions entre les câbles,gleichmäßige Verteilung der Seilkräfte,
,boulon à cames(avec écrou),Hakenschraube,
,bras élévateur téléscopique,Hubrettungsgerät,
,bride,Spanneisen,
,brisebéton,Betonbrecher,
,broche,Stahlbolzen,
,broche de poussée,Räumdorn,
,broche de tour,Arbeitsspindel,
,broche de traction,Räumnadel,
,brosseuse,Käseschmiermaschine,
,broyeur à marteaux,Prallspalter,
,brûleur à double débit,Turbo,
,burin pneumatique,Druckluftmeißel,
,câble à âme rigide massive,massives Panzerkabel,
,câble volant,freihängender Kabel,
,câbles à torons triangulaires,Dreikantseile,
,câbles à trois couches de torons aplatis,dreilagige Flachlitzenseile,
,caisse-palette compartimentée,Fachboxpalette,
,caisson en béton précontraint,Spannbetonbehälter,
,cale magnétique,Magnetspanner,
,calendrier de graissage,Schmierplan,
,calibre-machoire de filetage à limites,Gewinde-Grenzrollenlehre,
,calorifugeuse-tôlière,Isolierspenglerin,
,Calypso,Schleuderbahn,
,canalisation,Rohrleitung,
,capacité de coupe,Standvermögen,
,caractéristique de magnétisme,magnetische Kennlinie,
,carburéacteur type essence,"Flugturbinenkraftstoff(Benzin),Flugturbinenkraftstoff auf Benzinbasis",
,carde,Feilenbürste,
,centres de roues,Radnaben,
,chambre de dépôt,Ablagerungskammer,
,chandelle de renfort,Verstärkungsstütze,
,chargeuse à godets,Eimerkettenlader,
,chariot de téléphérage,Hängebahnwagen,
,chariot frontal,Frontstapler,
,charpente de support d'un générateur de vapeur,Kesselgerüst,
,chasse-neige à fraises,Schneefraese,
,châssis métallique,Stahlgerippe,
,chaudière d'alambics,Kessel fuer Destillierblasen,
,chaudronnerie lourde,Großkesselbau,
,cheminement,Leitungskanal,
,chenal d'alimentation,Rinne zur Speisung mit fluessigem Metall,
,chenille d'escalier,Treppenraupe,
,cheville à calotte,Kappenbolzen,
,circuit de purge,Entlüftungssystem,
,cisailles à débiter,Häckselschere,
,cisailles à levier long,Schlagschere,
,cisailles à main,Handschere,
,cisailles à molette,Rollenschere,
,cisailles d'établi à levier,Hebeltafelschere,
,cisailles-guillotines,"Guillotine-Schlagschere,Rahmenblech-Schlagschere",
,citerne,Zisterne,
,clapet de fermeture,Luftabschlussklappe,
,clapet non retour avec dispositif d'amortissement,Rückschlagklappe mit Dämpfungsvorrichtung,
,clavette chasse-cône,Austreiber,
,clés spéciales pour robinets de canalisations,Aufsteckschlüssel für Leistungshähne,
,coefficient de perméabilité des parois opaques,Luftdurchlässigkeitskoeffizient eines Mauerwerks,
,coefficient de réduction de température,Temperaturreduktionskoeffizient,
,collier de pose de ballon obturateur,Sperrblasenschelle,
,colonne à plateaux,Glockenbodenkolonne,
,commande automatique de porte,geregeltes Türtriebwerk,
,compas à centrer,Zentrierspitze,
,compensateur angulaire,Angular-Kompensator,
,comportement lors d'un freinage à chaud,Heissbremsverhalten,
,composteuse-trieuse,kombinierte Kompostier-und Sortieranlage,
,compression à double aspiration,Zweifach-Verdichtung,
,compteur à rouleaux,Walzenzaehler,
,concasseur à cylindres munis de dents,Doppelwalzenbrecher mit gezahnten Bandagen,
,conception des appareillages,Planung der Geräte,
,conception des matériels,Gestaltung der Betriebsmittel,
,conditions de marche,Betriebsbedingungen,
,conductrice de machines-outils,Werkzeugmaschinistin,
,conduite d'eau,Wasserleitung,
,conduites souterraines,unterirdische Leitungen,
,conteneur de 5 pieds,5 Fuß-Container,
,contre-plaque,Abstreifer,
,Convention no 119 du 25 juin 1963 concernant la protection des machines,Übereinkommen Nr.119 vom 25.Juni 1963 über den Maschinenschutz,
,conversion éolisolaire,atmosphärenthermische Umwandlung,
,convoyeur à bande,Bandfoerderer,
,convoyeur à écailles,Schuppenband,
,copeau continu adhérant,Bandspan,
,corps broyants,Mahlkoerper,
,correction de la profondeur de passe,Nachstellbewegung,
,côté entre,Gutseite,
,côté n'entre pas,Ausschußseite,
,couche de torons,Litzenlage,
,couloirs oscillants,Schuettelrutsche,
,coupe-câble,Kabelschneider,
,couple de giration en sens inverse,Gegendrehmoment,
,couple résiduel,Restmoment,
,couvercle à charnière,Deckel mit Scharnieren,
,couvercle à tringle,Deckel mit Leiste,
,crampon,Tragöse,
,crampons,Krampe,
,cric,Hebewinde,
